DISTRITO DE AVEIRO                    Concelho de ÁGUEDA
Horta da Vilariça                                        ALEXANDRE CORREIA MARTINS                PPD/PSD
Carviçais                                                ADEMAR MANUEL FEIJÓ                      PPD/PSD
Lousa                                                    PAULO BARBOSA CORDEIRO                   PPD/PSD
Açoreira                                                 MARIA EMÍLIA GONÇALVES REGO LOPES        PPD/PSD
Castedo                                                  RAFAELA FERREIRA MENESES                 PPD/PSD

DISTRITO DE BRAGANÇA                  Concelho de VILA FLOR
                          Freguesia                                                   Presidente                  Força política
Santa Comba de Vilariça                                       FERNANDO AUGUSTO SILVA BRAZ          PS
União das freguesias de Vilas Boas e Vilarinho das Azenhas   -                                                    -
União das freguesias de Vila Flor e Nabo                      JUSTINO MANUEL BERNARDO DOS SANTOS   PPD/PSD.CDS-PP
União das freguesias de Valtorno e Mourão                     CARLOS JOSÉ ALMEIDA SEIXAS           PPD/PSD.CDS-PP
União das freguesias de Candoso e Carvalho de Egas            ANTÓNIO MANUEL CARRILHO AGUIAR       PPD/PSD.CDS-PP
União das freguesias de Assares e Lodões                      MÓNICA RUTE MOUTINHO FERNANDES       PPD/PSD.CDS-PP
Vale Frechoso                                                 JOSÉ ANTÓNIO DOS SANTOS FERREIRA     PPD/PSD.CDS-PP
Seixo de Manhoses                                             ROBERTO FILIPE OLMO TEIXEIRA         PPD/PSD.CDS-PP
Sampaio                                                       VÍTOR CASSIANO QUEIJO PEREIRA        DESCONHECIDO
Samões                                                        DOMINGOS JOSÉ MARTINS BORGES         PPD/PSD.CDS-PP
Roios                                                         ANABELA BRAGANÇA DOS SANTOS          DESCONHECIDO
Freixiel                                                      GILBERTO MILTON FONSECA VIEIRA       PPD/PSD.CDS-PP
Benlhevai                                                     FREDERICO MACEDO TEIXEIRA            PPD/PSD.CDS-PP
Trindade                                                      ANTÓNIO ALEXANDRE ADÃO DOS SANTOS    PPD/PSD.CDS-PP

DISTRITO DE BRAGANÇA                 Concelho de VIMIOSO
                         Freguesia                                                 Presidente                  Força política
Vimioso                                                    ANTÓNIO MORAIS AFONSO FERNANDES      PS
Argozelo                                                  -                                                    -
União das freguesias de Vale de Frades e Avelanoso         FILIPE MANUEL PIRES CANEDO           PS
União das freguesias de Caçarelhos e Angueira             -                                                    -
União das freguesias de Algoso, Campo de Víboras e Uva     LUCAS DO NASCIMENTO ANES BRINÇO      PPD/PSD
Santulhão                                                  ADRIÃO AFONSO CORDEIRO RODRIGUES     PPD/PSD
Pinelo                                                     JOANA FILIPA CARVALHO PIRES          PPD/PSD
Carção                                                     DANIEL TOMÉ RAMOS                    PPD/PSD
Vilar Seco                                                 MANUEL EMÍLIO FONSECA JOÃO           PPD/PSD
Matela                                                    -                                                    -

DISTRITO DE BRAGANÇA                  Concelho de VINHAIS
                          Freguesia                              Presidente             Força política
União das freguesias de Travanca e Santa Cruz              -                                                    -
Vilar de Ossos                                             -                                                    -
Vilar de Peregrinos                                        -                                                    -
Vinhais                                                    -                                                    -
União das freguesias de Moimenta e Montouto                -                                                    -
União das freguesias de Nunes e Ousilhão                   -                                                    -
União das freguesias de Quirás e Pinheiro Novo             -                                                    -
União das freguesias de Soeira, Fresulfe e Mofreita        -                                                    -
União das freguesias de Vilar de Lomba e São Jomil         -                                                    -
Vilar Seco de Lomba                                        -                                                    -
Vila Verde                                                 -                                                    -
União das freguesias de Sobreiro de Baixo e Alvaredos      -                                                    -
Penhas Juntas                                              -                                                    -
Vila Boa de Ousilhão                                       -                                                    -
Candedo                                                    -                                                    -
Celas                                                      -                                                    -
Edral                                                      -                                                    -
Edrosa                                                     -                                                    -
Paçó                                                       -                                                    -
União das freguesias de Curopos e Vale de Janeiro          -                                                    -
Rebordelo                                                  -                                                    -
Agrochão                                                   -                                                    -
Santalha                                                   -                                                    -

DISTRITO DE BRAGANÇA                Concelho de VINHAIS
                        Freguesia                               Presidente             Força política
Tuizelo                                                   -                                                    -
Vale das Fontes                                           -                                                    -
Ervedosa                                                  -                                                    -

DISTRITO DE CASTELO BRANCO Concelho de BELMONTE
                        Freguesia                                    Presidente                      Força política
Caria                                         SILVÉRIO GAVINHOS QUELHAS               PPD/PSD.CDS-PP
Belmonte                                      HUGO ADOLFO DOS SANTOS TABORDA          PS
Colmeal da Torre                              PEDRO MIGUEL PINHEIRO VALÉRIO ALMEIDA   DESCONHECIDO
Inguias                                       JOAQUIM LUIS NUNES ADOLFO               PS
Maçainhas                                     ALEXANDRA DA CRUZ POMBO                 PPD/PSD.CDS-PP

DISTRITO DE CASTELO BRANCO Concelho de CASTELO BRANCO
                           Freguesia                                                Presidente                        Força política
Tinalhas                                                   SOFIA MARIA DUARTE EUSÉBIO SEMIÃO           PPD/PSD
Ninho do Açor                                              ISABEL MARIA NUNES LOURENÇO MARQUES         PPD/PSD
Mata                                                       CLÁUDIA BEATO FAUSTINO                      PPD/PSD
Lousa                                                      JOÃO MIGUEL TELES BALTAZAR                  PPD/PSD
Escalos de Cima                                            ALEXANDRE JOSÉ SANCHES PEREIRA              PS
Escalos de Baixo                                           LUÍSA ISABEL CARVALHO LEITÃO GOMES COELHO   PPD/PSD
União das freguesias de Póvoa de Rio de Moinhos e Cafede   LUCINDA ENCARNAÇÃO MATEUS MARTINS           PPD/PSD
Malpica do Tejo                                            JOÃO CARLOS GONÇALVES ALVEIRINHO CORREIA    PPD/PSD
União das freguesias de Freixial e Juncal do Campo         CARLA MARIA AFONSO PERQUILHAS DA COSTA      PS
Sobral do Campo                                            JOAQUIM FERNANDO LANDEIRO NETO              PPD/PSD
União das freguesias de Cebolais de Cima e Retaxo          JOÃO NUNES SOBREIRA                         PS
Benquerenças                                               JOÃO FILIPE NUNES VALENTE NEVES             PS
Salgueiro do Campo                                         ANTÓNIO JOSÉ PERQUILHAS BAPTISTA            PPD/PSD
Sarzedas                                                   JOSÉ MANUEL RIBEIRO DOS SANTOS              PPD/PSD
Almaceda                                                   GABRIEL SANTIAGO MARTINS                    PS
CASTELO Branco                                             JOSÉ DIAS SANTOS PIRES                      PS
Lardosa                                                    JOSÉ ANTÓNIO AFONSO DÂMASO                  PS
Louriçal do Campo                                          MARIA GORETE DE OLIVEIRA LOURO SERRA        PPD/PSD
Monforte da Beira                                          JOÃO JOSÉ LOURO RAMOS                       GCE (GRUPO DE CIDADÃOS ELEITORES)
Santo André das Tojeiras                                   CARLOS MANUEL GONÇALVES                     PPD/PSD
São Vicente da Beira                                       JOÃO FILIPE TAVARES GOULÃO                  PPD/PSD
Alcains                                                    JOÃO NUNO ANDRÉ FALCÃO                      PS

DISTRITO DE CASTELO BRANCO Concelho de COVILHÃ
                          Freguesia                                                Presidente                  Força política
União das freguesias de Covilhã e Canhoso                FRANCISCO JOÃO PEREIRA MOTA            PS
Casegas                                                  HUGO GABRIEL CORREIA GIL CARVALHEIRO   GCE (GRUPO DE CIDADÃOS ELEITORES)
União das freguesias de Teixoso e Sarzedo                JOANA FILIPA REAL SARDINHA             PS
União das freguesias de Vale Formoso e Aldeia do Souto   DANIEL NAVE TAVARES                    PS
Barco                                                    VITOR BARATA FERNANDES                 GCE (GRUPO DE CIDADÃOS ELEITORES)
Cantar-Galo                                              JORGE MANUEL FREIRE SANTAREM           PS
Coutada                                                  JAIME AFONSO RODRIGUES                 GCE (GRUPO DE CIDADÃOS ELEITORES)
Ourondo                                                  CARLOS AMADEU ALVES COSTA              PS
Peso                                                     BRUNO MADEIRA REDONDO                  PPD/PSD
Vales do Rio                                             LICÍNIO AGUILAR MACHADO                PS
Tortosendo                                               PEDRO EDUARDO CARROLA FARINHA          PS
Vila do Carvalho                                         SÓNIA ISABEL AFONSO MOURA              PS
Cortes do Meio                                           JORGE RICARDO GOUVEIA VIEGAS           GCE (GRUPO DE CIDADÃOS ELEITORES)
Boidobra                                                 MARCO ANTÓNIO BARREIROS GABRIEL        PCP-PEV
Dominguizo                                               JORGE MANUEL MATOS SARAIVA             GCE (GRUPO DE CIDADÃOS ELEITORES)
Erada                                                    SARA CORREIA FONSECA                   PS
Ferro                                                    GILBERTO MIGUEL FORTUNA MELFE          GCE (GRUPO DE CIDADÃOS ELEITORES)
Orjais                                                   SÉRGIO NUNO PROENÇA RODRIGUES          GCE (GRUPO DE CIDADÃOS ELEITORES)
Peraboa                                                  PEDRO MIGUEL TAVARES SILVEIRA          PS
São Jorge da Beira                                       PAULO JORGE DA SILVA QUINTELA          PS
Sobral de São Miguel                                     SOFIA ISABEL GASPAR SOBREIRO           PS
Verdelhos                                                DANIELA SOFIA PEREIRA CORREIA          PS
Aldeia de São Francisco de Assis                         PEDRO GASPAR MATIAS                    PS

DISTRITO DE CASTELO BRANCO Concelho de COVILHÃ
                        Freguesia                                       Presidente                  Força política
Paul                                             DUARTE NUNO SIMÕES RODRIGUES        PPD/PSD
Unhais da Serra                                  ANTÓNIO DOS SANTOS LOPES            PCP-PEV

DISTRITO DE CASTELO BRANCO Concelho de FUNDÃO
                         Freguesia                                                    Presidente                             Força política
União das freguesias de Vale de Prazeres e Mata da Rainha    PAULO JORGE BOAVIDA AFONSO                       PS
Silvares                                                     CLÁUDIA PATRÍCIA COSTA PEREIRA                   PS
Soalheira                                                    HÉLDER CARVALHO SALVADO                          PPD/PSD
Souto da Casa                                                GUILHERME MATEUS PARENTE                         GCE (GRUPO DE CIDADÃOS ELEITORES)
Telhado                                                      PAULO JORGE GABRIEL MARQUES                      PPD/PSD
Enxames                                                      FÁTIMA GONÇALVES OLIVEIRINHA                     GCE (GRUPO DE CIDADÃOS ELEITORES)
Três Povos                                                   JOSÉ MANUEL PINHEIRO MARTINS                     GCE (GRUPO DE CIDADÃOS ELEITORES)
União das freguesias de Janeiro de Cima e Bogas de Baixo     MÁRIO JORGE GOMES DIAS                           PPD/PSD
União das freguesias de Póvoa de Atalaia e Atalaia do Campo          PAULO JOSÉ BATISTA GONÇALVES                      PPD/PSD
Pêro Viseu                                                   ANA SOFIA CARVALHO VASCONCELOS                   GCE (GRUPO DE CIDADÃOS ELEITORES)
CASTELOejo                                                    VÍTOR MANUEL CAMPOS DUARTE                       GCE (GRUPO DE CIDADÃOS ELEITORES)
União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo         SÉRGIO MIGUEL DUARTE SALVADO                     GCE (GRUPO DE CIDADÃOS ELEITORES)
Barroca                                                      FERNANDO AMADEU SIMÕES DIAS BARATA               PPD/PSD
Alcaide                                                      JOSÉ ANTÓNIO LEAL MARTINS                        GCE (GRUPO DE CIDADÃOS ELEITORES)
Alcaria                                                      JOÃO MIGUEL DE ASCENSÃO RAMOS                    GCE (GRUPO DE CIDADÃOS ELEITORES)
Fatela                                                       DIOGO MARTINS JACOB                              GCE (GRUPO DE CIDADÃOS ELEITORES)
Alpedrinha                                                   FRANCISCO MANUEL PAIS FIGUEIRA                   GCE (GRUPO DE CIDADÃOS ELEITORES)
Orca                                                         MARIA DA RESSURREIÇÃO ANTUNES MESQUITA SARAIVA   GCE (GRUPO DE CIDADÃOS ELEITORES)
Bogas de Cima                                                ERNESTO DOS REIS ANTUNES                         PPD/PSD
Capinha                                                      VÍTOR MANUEL ALVES FERNANDES                     GCE (GRUPO DE CIDADÃOS ELEITORES)
CASTELO Novo                                                 MARIA DE JESUS SALVADO GONÇALVES ABELHO          GCE (GRUPO DE CIDADÃOS ELEITORES)
Lavacolhos                                                   PAULO ALEXANDRE FERNANDES BARBOSA                GCE (GRUPO DE CIDADÃOS ELEITORES)

DISTRITO DE CASTELO BRANCO Concelho de FUNDÃO
                        Freguesia                                      Presidente                  Força política
Alcongosta                                      JOÃO NUNO RIBEIRO RODRIGUES         GCE (GRUPO DE CIDADÃOS ELEITORES)

DISTRITO DE CASTELO BRANCO Concelho de IDANHA-A-NOVA
                         Freguesia                                               Presidente                                 Força política
União das freguesias de Monsanto e Idanha-a-Velha      JORGE DANIEL PIRES DA COSTA                          PS
São Miguel de Acha                                     ANA CRISTINA DOS SANTOS GERALDES                     PS
União das freguesias de Zebreira e Segura              PAULO SÉRGIO LAMEIRA PINTO                           PS
União das freguesias de Monfortinho e Salvaterra do Extremo                  RICARDO ANTÓNIO DE MATOS RODRIGUES              PS
União das freguesias de Idanha-a-Nova e Alcafozes      JOÃO JOSÉ DA SILVA COUCHINHO                         PS
Toulões                                                ANTÓNIO GABRIEL SANTOS MARCELO                       PS
Proença-a-Velha                                        JORGE HUMBERTO MENDES ROBALO LOPES ADÓNIS            DESCONHECIDO
Penha Garcia                                           ISAÍAS MANUEL RODRIGUES ANTUNES                      PS
Oledo                                                  NUNO MIGUEL CAPELO E SILVA                           PS
Medelim                                                ANA FILIPA MENDES CANILHO FONSECA                    PS
Ladoeiro                                               JOÃO ANTÓNIO MILHEIRO DE ALMEIDA                     PS
Aldeia de Santa Margarida                              VALTER JOSÉ CARVALHO MARTINS                         PS
Rosmaninhal                                            MARIA DA PIEDADE FOLGADO FREIXO DE BRITO GONÇALVES   MPT

DISTRITO DE CASTELO BRANCO Concelho de OLEIROS
                         Freguesia                                         Presidente                       Força política
Sarnadas de São Simão                            HERLANDER BATISTA LOPES                     PPD/PSD
Oleiros-Amieira                                  ANTÓNIO MIGUEL AFONSO FERNANDES             PS
Álvaro                                           HELENA RAQUEL LOPES PEREIRA FREIRE          PPD/PSD
Sobral                                           NUNO PAULO MENDES MOTA                      PPD/PSD
Orvalho                                          ANTÓNIO AUGUSTO MARTINS SIMÃO               DESCONHECIDO
Madeirã                                          JOSÉ BARATA DE ALMEIDA                      PS
Isna                                             PEDRO FILIPE RIBEIRO MARTINS GALANTE RATO   PPD/PSD
Cambas                                           CARLA RODRIGUES MENDES CHAMIÇA              PPD/PSD
Mosteiro                                         ANA MARIA SIMÕES DOS SANTOS LOPES           PPD/PSD
Estreito-Vilar Barroco                           JOSE JORGE NUNES MARTINS                    PPD/PSD

DISTRITO DE CASTELO BRANCO Concelho de PENAMACOR
                           Freguesia                                                  Presidente                  Força política
Meimão                                                       ANDRÉ JACINTO SILVA                   PS
União das freguesias de Pedrógão de São Pedro e Bemposta    -                                                    -
União das freguesias de Aldeia do Bispo, Águas e Aldeia de João Pires     -                                                    -
Vale da Senhora da Póvoa                                     RENATO ROBALO DA SILVA                PS
Salvador                                                    -                                                    -
Meimoa                                                       JOSÉ LUIS MADEIRAS AFONSO             PS
Benquerença                                                  SÉRGIO JOSÉ MARTINS FERNANDES         PS
Aranhas                                                      PAULO JORGE LANDEIRO DA SILVA         PS
Penamacor                                                    ANTÓNIO MANUEL GASPAR SALGUEIRO       PS

DISTRITO DE CASTELO BRANCO Concelho de PROENÇA-A-NOVA
                         Freguesia                                                  Presidente                  Força política
Montes da Senhora                                            NUNO FILIPE ANTUNES FERNANDES       PS
União das freguesias de Sobreira Formosa e Alvito da Beira   ANTÓNIO ALBERTO ANTUNES COELHO      PS
União das freguesias de Proença-a-Nova e Peral               PEDRO MIGUEL SANTO LOPES            PS
São Pedro do Esteval                                         LUÍS ANTÓNIO ALVES GONÇALVES        PS

DISTRITO DE CASTELO BRANCO Concelho de SERTÃ
                         Freguesia                                                    Presidente                  Força política
Cabeçudo                                                    ADRIANA PIRES SANTOS                   PS
Carvalhal                                                   ANTÓNIO NUNES XAVIER                   PS
CASTELO                                                     CARLOS MATEUS MARQUES LOPES            PPD/PSD
Pedrógão Pequeno                                            RUI JORGE DIAS MONTEIRO                PPD/PSD
Sertã                                                       JOAQUIM JOSÉ DA SILVA PEREIRA ALVES    PPD/PSD
Troviscal                                                   ROGÉRIO PAULO ANTUNES LUÍS             PPD/PSD
Várzea dos Cavaleiros                                       SUSANA ISABEL ALVES RODRIGUES          PS
União das freguesias de Cernache do Bonjardim, Nesperal e Palhais  CÉLIA MARIA DUARTE LUIS                PS
União das freguesias de Cumeada e Marmeleiro                PEDRO MANUEL MARTINS DA SILVA          PPD/PSD
União das freguesias de Ermida e Figueiredo                 PAULO JORGE MARTINS ALVES              PPD/PSD.CDS-PP

DISTRITO DE CASTELO BRANCO Concelho de VILA DE REI
                        Freguesia                               Presidente             Força política
Fundada                                                   -                                                    -
São João do Peso                                          -                                                    -
Vila de Rei                                               -                                                    -

DISTRITO DE CASTELO BRANCO Concelho de VILA VELHA DE RÓDÃO
                        Freguesia                                      Presidente                  Força política
Fratel                                         CÉLIA MARIA SEQUEIRA RIBEIRO         PS
Perais                                         BENVINDA MARIA PIRES DIAS            PS
Sarnadas de Ródão                              VITOR HUGO FONTELAS DE OLIVEIRA      PS
Vila Velha de Ródão                            JOAQUIM MANUEL RIBEIRO NUNES         PS

DISTRITO DE COIMBRA                   Concelho de ARGANIL
                          Freguesia                                                 Presidente                  Força política
União das freguesias de Côja e Barril de Alva               PAULO JORGE MARQUES AMARAL           PS
São Martinho da Cortiça                                     ANTÓNIO JOSÉ VENTURA DIAS            PPD/PSD
União das freguesias de Vila Cova de Alva e Anseriz         JOÃO MANUEL BORGES GONÇALVES         PS
União das freguesias de Cerdeira e Moura da Serra           BERNARDO FILIPE SANTOS FIGUEIREDO    PPD/PSD
União das freguesias de Cepos e Teixeira                    ANA MARGARIDA FERNANDES MARQUES      PPD/PSD
Secarias                                                    ANTÓNIO SOUTO DE CARVALHO            DESCONHECIDO
Sarzedo                                                     IDÍLIO JORGE ARAÚJO CORREIA          PPD/PSD
Pomares                                                     AMÂNDIO FERNANDES DINIS              PPD/PSD
Piódão                                                      VALTER FRANCISCO LOURENÇO PACHECO    DESCONHECIDO
Folques                                                     PAULO JORGE TRAVASSOS BATISTA        PS
Celavisa                                                    MARIA DO ROSÁRIO GOMES OLIVEIRA      PPD/PSD
Pombeiro da Beira                                           VICTOR MANUEL RODRIGUES PEDROSO      PPD/PSD
Benfeita                                                    JOSÉ GONÇALVES DA COSTA PINHEIRO     PPD/PSD
Arganil                                                     PAULO JORGE FERNANDES DOS SANTOS     PS

DISTRITO DE COIMBRA                  Concelho de CANTANHEDE
                         Freguesia                                                 Presidente                     Força política
São Caetano                                                JOÃO PAULO MARTINS DE JESUS             PPD/PSD
Ançã                                                       CLÁUDIO MIGUEL VAZ CARDOSO              PPD/PSD
Pocariça                                                  -                                                    -
Cantanhede                                                -                                                    -
União das freguesias de Vilamar e Corticeiro de Cima      -                                                    -
União das freguesias de Sepins e Bolho                    -                                                    -
União das freguesias de Portunhos e Outil                 -                                                    -
Sanguinheira                                              -                                                    -
Cadima                                                    -                                                    -
Tocha                                                      JOSÉ MANUEL GOMES DA CRUZ               PPD/PSD
Ourentã                                                    CARLOS ALBERTO GONÇALVES VENTURA        PPD/PSD
Murtede                                                    SÉRGIO DUARTE OLIVEIRA MAIA             PPD/PSD
Febres                                                     CARLOS MANUEL LOTE FERNANDES            PPD/PSD
Cordinhã                                                  -                                                    -
União das freguesias de Covões e Camarneira                FERNANDO PEDRO CHINA MATEUS VERÍSSIMO   PPD/PSD

DISTRITO DE COIMBRA                     Concelho de COIMBRA
                            Freguesia                                                  Presidente                          Força política
União das freguesias de Eiras e São Paulo de Frades           LUÍS MIGUEL LOPES CORREIA                    PPD/PSD.CDS-PP.IL.NC.PPM.VP.MPT
União das freguesias de Santa Clara e CASTELO Viegas          BERTÍLIA ISIDORA CABEÇAS DA SILVA SIMÃO      CDS-PP
União das freguesias de São Martinho de Árvore e Lamarosa     JOÃO ANTÓNIO SOUSA PIMENTA                   PS
União das freguesias de São Martinho do Bispo e Ribeira de Frades      -                                                    -
União das freguesias de Souselas e Botão                      JOÃO PAULO SILVESTRE PAULINO                 PS.L.PAN
União das freguesias de Trouxemil e Torre de Vilela           HORÁCIO VALDEMAR RODRIGUES COSTA             PS
São João do Campo                                             VALTER JOSÉ AMARO DOS SANTOS                 PS.L.PAN
União das freguesias de Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)            -                                                    -
União das freguesias de Taveiro, Ameal e Arzila               ANTÓNIO CÂNDIDO DA SILVA MENDES MALVA        PPD/PSD.CDS-PP.IL.NC.PPM.VP.MPT
União das freguesias de Antuzede e Vil de Matos               RUI MANUEL FERREIRA MARCELINO SANTOS COSTA   PS.L.PAN
Almalaguês                                                    LUÍS MIGUEL FERREIRA LEMOS                   PS.L.PAN
São Silvestre                                                 FERNANDA MARIA CARDOSO RIBEIRO ANTUNES       PS.L.PAN
Santo António dos Olivais                                     JOSÉ FRANCISCO PEREIRA RODEIRO               PPD/PSD.CDS-PP.IL.NC.PPM.VP.MPT
Cernache                                                      MARTA ISABEL MONTEIRO CORDEIRO FERRO         PS.L.PAN
Ceira                                                         FERNANDO JORGE LOPES DE ALMEIDA              PS.L.PAN
Brasfemes                                                     PAULO ROBERTO DA SILVA SANTOS                PS.L.PAN
Torres do Mondego                                             NUNO ALEXANDRE DINIS MARTINS DE CARVALHO     PS.L.PAN
União das freguesias de Assafarge e Antanhol                 -                                                    -

DISTRITO DE COIMBRA                   Concelho de CONDEIXA-A-NOVA
                          Freguesia                                                 Presidente                  Força política
Furadouro                                                 -                                                    -
União das freguesias de Vila Seca e Bem da Fé              JORGE MANUEL LUCAS DE ALMEIDA         PS
União das freguesias de Sebal e Belide                    -                                                    -
Zambujal                                                   VITOR LUIS DONÁRIO TEIXEIRA           PS
Ega                                                       -                                                    -
Anobra                                                     VASCO DINIS MATEUS DOS SANTOS PÓVOA   GCE (GRUPO DE CIDADÃOS ELEITORES)
União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova               OCTÁVIO MANUEL MARQUES PINÃO          GCE (GRUPO DE CIDADÃOS ELEITORES)

DISTRITO DE COIMBRA                   Concelho de FIGUEIRA DA FOZ
                          Freguesia                                                 Presidente                            Força política
Marinha das Ondas                                          JOSÉ ALBERTO JORDÃO SUZANA                      PS
Paião                                                     -                                                    -
São Julião da Figueira da Foz                             -                                                    -
Santana                                                    RICARDO MANUEL SANTOS PEREIRA                   PS
Ferreira-a-Nova                                           -                                                    -
Buarcos                                                    ROSA MARIA MARTINS FERREIRA BAPTISTA            PPD/PSD.CDS-PP
Brenha                                                     JOANA CATARINA CORREIA ALVES RIBEIRO DA SILVA   CDS-PP.PPD/PSD
Alhadas                                                    ANTÓNIO JOSÉ LOPES DA SILVA                     PPD/PSD.CDS-PP
Quiaios                                                    CRISTINA MANUELA BEATO FIGUEIREDO FERREIRA      PS
Moinhos da Gândara                                        -                                                    -
Bom Sucesso                                                PEDRO MANUEL FIGUEIREDO QUINTEIRO               PS
São Pedro                                                 -                                                    -
Alqueidão                                                  CLARISSE DA SILVA FERREIRA OLIVEIRA             GCE (GRUPO DE CIDADÃOS ELEITORES)
Tavarede                                                  -                                                    -
Lavos                                                      ANTÓNIO JOSÉ GASPAR PEREIRA                     PPD/PSD
Maiorca                                                    NUNO RICARDO PEREIRA SANTOS                     CH
Vila Verde                                                -                                                    -

DISTRITO DE COIMBRA                  Concelho de GÓIS
                         Freguesia                                              Presidente                    Força política
Vila Nova do Ceira                                      ANTÓNIO ALBERTO FIGUEIREDO MACHADO     PPD/PSD
União das freguesias de Cadafaz e Colmeal               SANDRA MARIA FÉLIX HENRIQUES           PS
Góis                                                    PEDRO MANUEL DE CAMPOS DIAS NOGUEIRA   PPD/PSD
Alvares                                                 LARA SOFIA DIAS BAETA                  PS

DISTRITO DE COIMBRA                  Concelho de LOUSÃ
                         Freguesia                                               Presidente                  Força política
Gândaras                                                 NELSON MANUEL MARTINS GONÇALVES      PPD/PSD.CDS-PP
União das freguesias de Foz de Arouce e Casal de Ermio   SOFIA ISABEL DIAS SIMÕES ANTUNES     PS
Lousã                                                    ALCINDO JOSÉ GONÇALVES QUARESMA      PPD/PSD.CDS-PP
Vilarinho                                                ANTÓNIO JOAQUIM CARVALHO SECO        DESCONHECIDO
Serpins                                                  JORGE MANUEL SEQUEIRA LIMA           PPD/PSD.CDS-PP

DISTRITO DE COIMBRA                 Concelho de MIRA
                        Freguesia                               Presidente             Força política
Mira                                                      -                                                    -
Seixo                                                     -                                                    -
Carapelhos                                                -                                                    -
Praia de Mira                                             -                                                    -

DISTRITO DE COIMBRA                  Concelho de MIRANDA DO CORVO
                         Freguesia                                             Presidente                  Força política
Lamas                                                   RAÚL JOSÉ FREIRE MARQUES            PPD/PSD.CDS-PP
União das freguesias de Semide e Rio Vide               JOAQUIM DA SILVA                    PPD/PSD.CDS-PP
Vila Nova                                               HUGO GABRIEL DE ANDRADE CARRILHO    PPD/PSD.CDS-PP
Miranda do Corvo                                        BRUNO DIOGO DA COSTA SANTOS         PPD/PSD.CDS-PP

DISTRITO DE COIMBRA                  Concelho de MONTEMOR-O-VELHO
                         Freguesia                                                  Presidente                       Força política
Tentúgal                                                    -                                                    -
União das freguesias de Montemor-o-Velho e Gatões           -                                                    -
Ereira                                                       NELSON ANTÓNIO MORENO CARVALHO           PS
Seixo de Gatões                                              JOÃO PAULO DE ALMEIDA ÂNGELO             PS
Santo Varão                                                 -                                                    -
Pereira                                                     -                                                    -
Meãs do Campo                                               -                                                    -
Liceia                                                       SANDRA ISABEL SOUSA MARICATO DOMINGUES   PS
Carapinheira                                                 JOSÉ PIRES MARQUES DE MATOS              PS
Arazede                                                     -                                                    -
União das freguesias de Abrunheira, Verride e Vila Nova da Barca     -                                                    -

DISTRITO DE COIMBRA                   Concelho de OLIVEIRA DO HOSPITAL
                          Freguesia                                                      Presidente                            Força política
Seixo da Beira                                               CARLOS MIGUEL DIAS GONÇALVES                       PS
Ervedal                                                      SÉRGIO FILIPE DA CUNHA PEREIRA                     PS
União das freguesias de Santa Ovaia e Vila Pouca da Beira    ANTÓNIO MANUEL PINTO MARQUES                       PS
União das freguesias de Penalva de Alva e São Sebastião da Feira      IRENE MADALENA MARTINS OLIVEIRA MENDES             PS
União das freguesias de Oliveira do Hospital e São Paio de Gramaços      JOSÉ MANUEL MATIAS DA CRUZ                         PS
São Gião                                                     NUNO RAFAEL OLIVEIRA DIAS                          CDS-PP.NC
Travanca de Lagos                                            NUNO GONÇALO MENDES SANTOS                         PS
Vila Franca da Beira                                         JOÃO MANUEL FONTES DINIS                           PCP-PEV
Meruge                                                       JOÃO ALBERTO GARCIA DE ABREU                       PCP-PEV
Lourosa                                                      AMÉRICO MARQUES DE FIGUEIREDO                      PS
Lagares                                                      JOÃO MIGUEL COELHO NEVES PINTO                     PPD/PSD
Bobadela                                                     VASCO MARQUES BRANTUAS RIBEIRO                     PS
Avô                                                          MANUEL MARIA GOLEGÃ DA FONSECA PIMENTEL DE SOUSA   PS
Alvoco das Várzeas                                           CÁTIA SOFIA DA CRUZ ALVES                          PPD/PSD
Aldeia das Dez                                               JOANA CRISTINA DA COSTA ALVES                      PS
União das freguesias de Lagos da Beira e Lajeosa             NUNO MARCO FERREIRA BAPTISTA                       GCE (GRUPO DE CIDADÃOS ELEITORES)
Nogueira do Cravo                                            JOSÉ ALEXANDRE RODRIGUES COSTA                     PS

DISTRITO DE COIMBRA                  Concelho de PAMPILHOSA DA SERRA
                         Freguesia                                               Presidente                  Força política
Pampilhosa da Serra                                      MARIA FERNANDA DOS SANTOS ALVES      PPD/PSD
Portela do Fojo-Machio                                   NÉLIA MARISA FERREIRA TAVARES        PPD/PSD
Fajão-Vidual                                             AURÉLIO CARDOSO DE CAMPOS            PPD/PSD
Pessegueiro                                              BENJAMIM BATISTA MARQUES             PPD/PSD
Janeiro de Baixo                                         JOSÉ DE JESUS MARTINS                PPD/PSD
Dornelas do Zêzere                                       SILVÉRIO SIMÕES GONÇALVES            PPD/PSD
Cabril                                                   CARLOS ALBERTO FERNANDES ANTUNES     PPD/PSD
Unhais-o-Velho                                           GINA MARIA NEVES DE CARVALHO         PPD/PSD

DISTRITO DE COIMBRA                  Concelho de PENACOVA
                         Freguesia                                                  Presidente                          Força política
Carvalho                                                    MARCO ANDRÉ FERNANDES MARTINS                PS
