DISTRITO DE AVEIRO                    Concelho de ÁGUEDA
Anta                                                      JOSÉ FERNANDO FERREIRA DE SOUSA PINTO   PS
Silvalde                                                  FRANCISCO MENDES MOREIRA                PPD/PSD
Paramos                                                   FILIPE CARDOSO VIEIRA                   DESCONHECIDO

DISTRITO DE AVEIRO                   Concelho de ESTARREJA
                         Freguesia                                                Presidente                  Força política
União das freguesias de Canelas e Fermelã                ANTÓNIO TAVARES COSTEIRA              PPD/PSD.CDS-PP
Salreu                                                   ANTÓNIO MANUEL VALENTE MARQUES        PS
Pardilhó                                                 ANTÓNIO JOSÉ DA SILVA TAVARES         PPD/PSD.CDS-PP
Avanca                                                   PAULO NUNO GARRIDO BARBOSA            PPD/PSD.CDS-PP
Veiros                                                   VÍTOR MANUEL PEREIRA LACERDA          PPD/PSD.CDS-PP
Beduído                                                  PEDRO SÉRGIO DE OLIVEIRA E SILVA      PPD/PSD.CDS-PP                                                                                                   

DISTRITO DE AVEIRO                  Concelho de ÍLHAVO
                        Freguesia                                                  Presidente                   Força política
Gafanha da Encarnação                                      JOSÉ AUGUSTO RIBAU CARAPELHO         PPD/PSD.CDS-PP
Ílhavo (São Salvador)                                      -                                    -
Gafanha da Nazaré                                          JOSÉ ANTÓNIO FALCÃO RIBEIRO ARVINS   PPD/PSD.CDS-PP.IL
Gafanha do Carmo                                           DANIELA APOLINÁRIO PIMENTEL          PPD/PSD.CDS-PP

DISTRITO DE AVEIRO                  Concelho de MEALHADA
                        Freguesia                               Presidente             Força política
Casal Comba                                                -                           -
Antes                                                      -                           -
Vacariça                                                   -                           -
Luso                                                       -                           -
Barcouço                                                   -                           -
Ventosa do Bairro                                          -                           -
Mealhada                                                   -                           -
Pampilhosa                                                 -                           -

DISTRITO DE AVEIRO                  Concelho de MURTOSA
                        Freguesia                                                 Presidente                   Força política
Murtosa                                                   SÉRGIO DOMINGO DE OLIVEIRA DA SILVA   GCE (GRUPO DE CIDADÃOS ELEITORES)
Bunheiro                                                  FRANCISCO AUGUSTO VALENTE PEREIRA     PPD/PSD
Monte                                                     FILIPE EMANUEL DA SILVA LOUREIRO      PPD/PSD
Torreira                                                  ANDRÉ MANUEL RAMOS DE PINHO           GCE (GRUPO DE CIDADÃOS ELEITORES)

DISTRITO DE AVEIRO                    Concelho de OLIVEIRA DE AZEMÉIS
                          Freguesia                                                 Presidente                   Força política
Vila de Cucujães                                           ELISABETE DE PINHO BARNABÉ             PPD/PSD.CDS-PP
São Roque                                                  VITOR MANUEL CARDOSO DE ANDRADE        PS
São Martinho da Gândara                                    FERNANDO ANTÓNIO DA COSTA LOPES        PS
Ossela                                                     FERNANDA RAQUEL MELO DE SOUSA          PS
Macieira de Sarnes                                         FILIPE JOSÉ BASTOS MARQUES             PS
União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail   MARIA DE FÁTIMA DE OLIVEIRA FERREIRA   PS
União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz   ROGÉRIO MIGUEL MARQUES RIBEIRO         PS
Carregosa                                                  CONSTANÇA CORREIA DE MELO              PS
Loureiro                                                   JOSÉ DA SILVA QUEIRÓS                  PPD/PSD.CDS-PP
Fajões                                                     ÓSCAR JOSÉ SANTOS TEIXEIRA             PS
Cesar                                                      ÂNGELO FERNANDO DA ROCHA E SILVA       DESCONHECIDO
Pindelo                                                    MANUEL ALBINO CAMPOS                   PS
Nogueira do Cravo                                          MANUEL REBELO DA COSTA                 PPD/PSD.CDS-PP

DISTRITO DE AVEIRO                   Concelho de OLIVEIRA DO BAIRRO
                         Freguesia                                                Presidente                  Força política
União das freguesias de Bustos, Troviscal e Mamarrosa    ACÍLIO DOS SANTOS FERREIRA            CDS-PP
Oiã                                                      BRUNO FILIPE TEIXEIRA SEABRA          PPD/PSD
Palhaça                                                  LUÍS MIGUEL BARROS RUIVO              PPD/PSD
Oliveira do Bairro                                       SIMÃO MOREIRA VELA                    PPD/PSD

DISTRITO DE AVEIRO                   Concelho de OVAR
                         Freguesia                                                 Presidente                  Força política
Arada                                                      NUNO BRÁS DA SILVA SOUSA             NC.PPM
Cortegaça                                                  -                                    -
São Vicente de Pereira Jusã                                JOSÉ FILIPE DOS SANTOS MESQUITA      PPD/PSD
Ovar                                                       JORGE MANUEL MARQUES MAIA            PPD/PSD
Esmoriz                                                    -                                    -
Maceda                                                     -                                    -
Válega                                                     RAÚL FONSECA TEIXEIRA                PS
São João                                                   -                                    -

DISTRITO DE AVEIRO                   Concelho de SANTA MARIA DA FEIRA
                         Freguesia                                                     Presidente                       Força política
Mozelos                                                   CATARINA DE OLIVEIRA SILVA                     PPD/PSD
Guisande                                                  JOHNNY DEIVIS BATISTA DE ALMEIDA               PPD/PSD
Vila Maior                                                ANDREIA DA SILVA MARQUES                       PPD/PSD
Vale                                                      FAUSTO PAIVA DOS REIS E SÁ                     PPD/PSD
São Miguel de Souto                                       FRANCISCO MANUEL DE OLIVEIRA ANDRADE           PS
Pigeiros                                                  ANTÓNIO ALVES CARDOSO                          PS
Mosteirô                                                  LUÍS FILIPE DA CRUZ SOARES                     PPD/PSD
Louredo                                                   JOSÉ FERNANDO MOREIRA                          PPD/PSD
Lobão                                                     DAVID ANTÓNIO HENRIQUES DAS NEVES              PS
Milheirós de Poiares                                      MANUEL ANTÓNIO MARTINS DE MELO                 GCE (GRUPO DE CIDADÃOS ELEITORES)
Gião                                                      MANUEL DE OLIVEIRA LEITE                       PPD/PSD
Argoncilhe                                                PEDRO ALEXANDRE DA SILVA MARTINS               PPD/PSD
Arrifana                                                  JOAQUIM MANUEL DOS SANTOS TEIXEIRA             PPD/PSD
Escapães                                                  ANA PATRICIA BASTOS DA CUNHA                   PPD/PSD
Fiães                                                     JOAQUIM JOSÉ FERREIRA DOS SANTOS               PPD/PSD
São Paio de Oleiros                                       MAXIMINO FRANCISCO DA COSTA                    PPD/PSD
Lourosa                                                   MIGUEL ÂNGELO COSTA E SILVA                    PPD/PSD
Nogueira da Regedoura                                     FERNANDO FERREIRA DE SOUSA                     PS
União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo   CRISTINA MANUELA CARDOSO TENREIRO              PPD/PSD
Canedo                                                    LICÍNIO FRANCISCO DE SOUSA DA COSTA LOUREIRO   PPD/PSD
Fornos                                                    CÉSAR JORGE PAIS RESENDE                       PPD/PSD
Caldas de São Jorge                                       JOSÉ ANTÓNIO DOS SANTOS RIBEIRO                PPD/PSD

DISTRITO DE AVEIRO                  Concelho de SANTA MARIA DA FEIRA
                        Freguesia                                                Presidente                  Força política
Paços de Brandão                                        AVELINO CARVALHO COSTA                PPD/PSD
São João de Ver                                         NUNO JOÃO MARQUES SOARES ALBERGARIA   PPD/PSD
Santa Maria de Lamas                                    ANDRÉ FILIPE VIVAS RAMALHO DA COSTA   PPD/PSD
Sanguedo                                                AVELINO PEREIRA DE OLIVEIRA FONTES    PS
Romariz                                                 NUNO JOEL VALENTE DE SOUSA ROCHA      PPD/PSD
Rio Meão                                                FILIPE EDGAR REIS DIAS                PPD/PSD                                                                         

DISTRITO DE AVEIRO                  Concelho de SÃO JOÃO DA MADEIRA
                        Freguesia                                             Presidente                                 Força política
São João da Madeira                                    RODOLFO ANTÓNIO TEIXEIRA DEGUES ANDRADE OLIVEIRA   PS

DISTRITO DE AVEIRO                  Concelho de SEVER DO VOUGA
                        Freguesia                                                Presidente                      Força política
Couto de Esteves                                        CARLOS ALBERTO DE ANDRADE OLIVEIRA        PPD/PSD
Cedrim                                                  ROBERTO EMANUEL DA SILVA SIMÕES FREITAS   PS
Dornelas                                                AROLDE SOARES DA SILVA BALAIAS            PS
Paradela                                                JOSÉ HENRIQUE RIBEIRO DE BASTOS           PPD/PSD
